"","scenSimpl2","scenNumb","avohaakut","stands_n","SA_share"
"1","ALL",0,"SA",1470,100
"2","ALL",1,"SA",1337,90.9523809523809
"3","ALL",2,"SA",1260,85.7142857142857
"4","ALL",3,"SA",1174,79.8639455782313
"5","ALL",4,"SA",1095,74.4897959183673
"6","ALL",5,"SA",1011,68.7755102040816
"7","ALL",6,"SA",931,63.3333333333333
"8","ALL",7,"SA",865,58.843537414966
"9","ALL",8,"SA",822,55.9183673469388
"10","ALL",9,"SA",816,55.5102040816327
"11","ALL",10,"SA",774,52.6530612244898
"12","ALL",11,"SA",743,50.5442176870748
"13","ALL",12,"SA",703,47.8231292517007
"14","ALL",13,"SA",631,42.9251700680272
"15","ALL",14,"SA",558,37.9591836734694
"16","ALL",15,"SA",494,33.6054421768707
"17","ALL",16,"SA",427,29.0476190476191
"18","ALL",17,"SA",333,22.6530612244898
"19","ALL",18,"SA",255,17.3469387755102
"20","ALL",19,"SA",194,13.1972789115646
"21","ALL",20,"SA",106,7.2108843537415
"22","CCF",0,"SA",1470,100
"23","CCF",1,"SA",1346,91.5646258503401
"24","CCF",2,"SA",1280,87.0748299319728
"25","CCF",3,"SA",1200,81.6326530612245
"26","CCF",4,"SA",1141,77.6190476190476
"27","CCF",5,"SA",1049,71.3605442176871
"28","CCF",6,"SA",981,66.734693877551
"29","CCF",7,"SA",921,62.6530612244898
"30","CCF",8,"SA",873,59.3877551020408
"31","CCF",9,"SA",829,56.3945578231293
"32","CCF",10,"SA",818,55.6462585034014
"33","CCF",11,"SA",760,51.7006802721088
"34","CCF",12,"SA",703,47.8231292517007
"35","CCF",13,"SA",652,44.3537414965986
"36","CCF",14,"SA",556,37.8231292517007
"37","CCF",15,"SA",476,32.3809523809524
"38","CCF",16,"SA",385,26.1904761904762
"39","CCF",17,"SA",300,20.4081632653061
"40","CCF",18,"SA",247,16.8027210884354
"41","CCF",19,"SA",202,13.7414965986395
"42","CCF",20,"SA",124,8.43537414965986
"43","not_CCF",0,"SA",1470,100
"44","not_CCF",1,"SA",1380,93.8775510204082
"45","not_CCF",2,"SA",1347,91.6326530612245
"46","not_CCF",3,"SA",1317,89.5918367346939
"47","not_CCF",4,"SA",1280,87.0748299319728
"48","not_CCF",5,"SA",1241,84.421768707483
"49","not_CCF",6,"SA",1225,83.3333333333333
"50","not_CCF",7,"SA",1189,80.8843537414966
"51","not_CCF",8,"SA",1131,76.9387755102041
"52","not_CCF",9,"SA",1070,72.7891156462585
"53","not_CCF",10,"SA",997,67.8231292517007
"54","not_CCF",11,"SA",918,62.4489795918367
"55","not_CCF",12,"SA",829,56.3945578231293
"56","not_CCF",13,"SA",729,49.5918367346939
"57","not_CCF",14,"SA",650,44.2176870748299
"58","not_CCF",15,"SA",559,38.0272108843537
"59","not_CCF",16,"SA",486,33.0612244897959
"60","not_CCF",17,"SA",417,28.3673469387755
"61","not_CCF",18,"SA",329,22.3809523809524
"62","not_CCF",19,"SA",243,16.530612244898
"63","not_CCF",20,"SA",148,10.0680272108844
